v4_0,financial-and-calendar-years,Time,uk-only,Geography,quintile,Quintile,averages-and-percentiles,AveragesAndPercentiles,income-type,Income,value-deflation,Deflation
30918,2018-19,2018-19,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
15254,2018-19,2018-19,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
10612,2018-19,2018-19,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
46129,2018-19,2018-19,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
39226,2018-19,2018-19,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
65552,2018-19,2018-19,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
39886,2018-19,2018-19,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
10612,2018-19,2018-19,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
25044,2018-19,2018-19,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
35858,2018-19,2018-19,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
39764,2018-19,2018-19,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
47017,2018-19,2018-19,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
46638,2018-19,2018-19,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
23722,2018-19,2018-19,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
18961,2018-19,2018-19,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
35423,2018-19,2018-19,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
18961,2018-19,2018-19,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
19513,2018-19,2018-19,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
23788,2018-19,2018-19,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
6718,2018-19,2018-19,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
31863,2018-19,2018-19,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
75331,2018-19,2018-19,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
39723,2018-19,2018-19,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
21737,2018-19,2018-19,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
24759,2018-19,2018-19,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
35372,2018-19,2018-19,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
35423,2018-19,2018-19,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
25044,2018-19,2018-19,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
14772,2018-19,2018-19,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
47017,2018-19,2018-19,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
59107,2018-19,2018-19,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
104992,2018-19,2018-19,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
1685,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
11598,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
26096,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
18627,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
15458,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
830,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
52320,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
36933,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
13873,1993,1993,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
22877,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
11568,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
9234,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
30426,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
15715,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
20633,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
40421,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
15815,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
10285,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
13605,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
15528,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
5140,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
20297,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
14633,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
17222,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
11914,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
9692,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
12010,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
9370,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
24333,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
5828,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
6185,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
3879,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
12407,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
32736,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
9472,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
24950,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
18380,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
11652,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
8181,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
6307,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
11790,1993,1993,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
15355,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
14805,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
19236,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
23009,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
12708,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
15003,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
28500,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
8853,1993,1993,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
31463,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
14901,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
23061,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
19240,1993,1993,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
24905,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
61418,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
26439,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
39871,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
38044,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
19607,1993,1993,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
13837,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
9865,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
19384,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
23021,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
32994,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
26298,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
8195,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
9295,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
19376,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
30975,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
43395,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
5933,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
8547,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
5973,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
8961,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
21132,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
10488,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
19298,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
7165,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
28639,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
11657,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
11570,1993,1993,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
13628,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
14723,1993,1993,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
23376,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
2802,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
11053,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
12607,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
24307,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
30836,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
9338,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
20964,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
20028,1993,1993,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
51278,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
33753,1993,1993,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
23070,1993,1993,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
3592,1993,1993,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
5369,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
7222,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
18297,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
6450,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
8929,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
47393,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
59683,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
5635,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
499,1993,1993,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
11605,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
15899,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
14977,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
14057,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
19841,1993,1993,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
35890,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
13868,1993,1993,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
19287,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
9450,1993,1993,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
5696,1993,1993,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
19686,1993,1993,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
8903,1993,1993,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
23977,1993,1993,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
13844,1993,1993,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
12044,1993,1993,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
6532,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
4443,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
1286,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
6953,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
24720,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
20212,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
17223,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
4678,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
5219,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
7220,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
6970,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
12820,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
8162,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
5386,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
5228,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
14969,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
16780,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
5482,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
7687,1986,1986,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
5361,1986,1986,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
9346,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
14831,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
6218,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
22003,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
28414,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
12788,1986,1986,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
7878,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
3068,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
10731,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
2570,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
21017,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
3639,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
7871,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
15726,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
17269,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
3918,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
13496,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
12123,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
9659,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
12471,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
5616,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
7481,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
10363,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
8794,1986,1986,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
11158,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
15214,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
17845,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
12848,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
30580,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
26184,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
18336,1986,1986,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
22172,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
21014,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
19469,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
49315,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
47831,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
32192,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
42344,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
41193,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
16639,1986,1986,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
8435,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
7196,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
8811,1986,1986,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
16584,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
8681,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
26435,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
17164,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
5611,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
2738,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
6275,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
4069,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
9224,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
20674,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
20052,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
8407,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
6131,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
16804,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
9908,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
26689,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
6975,1986,1986,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
9295,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
9598,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
8804,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
12448,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
13397,1986,1986,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
4499,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
11912,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
11189,1986,1986,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
13943,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
10977,1986,1986,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
18775,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
13075,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
8809,1986,1986,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
13385,1986,1986,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
21000,1986,1986,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
20121,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
28655,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
37512,1986,1986,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
3524,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
4049,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
11082,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
12013,1986,1986,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
10598,1986,1986,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
9705,1986,1986,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
